HC VERVA Litvínov - Rytíøi Kladno, 15.10.2023 | Hokej.cz - web èeského hokeje;;;;;;
Èas;Tým;Støelec gólu;Asistence;Typ gólu (pøesilovka,..);Hráèi u vstøeleného gólu;Hráèi u inkasovaného gólu
5:14;LIT;David KAŠE (4);"Nicolas HLAVA (5),
								Ondøej KAŠE (6)";Pøesilovka 5 na 4;"

David Kaše, 
			Janis Jaks, 
			Nicolas Hlava, 
			Liam Kirk, 
			Ondøej Kaše, 
			Matej Tomek
";"

Antonín Melka, 
			Jakub Strnad, 
			Tadeáš Hejda, 
			Jake Dotchin, 
			Adam Brízgala
"
16:50;KLA;Eduards TRALMAKS (5);"Jake DOTCHIN (5),
								Denis KUSÝ (2)";Pøesilovka 5 na 3;"

Jiøí Ticháèek, 
			Denis Kusý, 
			Eduards Tralmaks, 
			Jake Dotchin, 
			Radek Smoleòák, 
			Adam Brízgala
";"

Matúš Suke¾, 
			Radim Šalda, 
			Kristaps Zile, 
			Matej Tomek
"
17:50;KLA;Radek SMOLEÒÁK (3);"Jiøí TICHÁÈEK (7),
								Eduards TRALMAKS (1)";Pøesilovka 5 na 3;"

Jiøí Ticháèek, 
			Jake Dotchin, 
			Radek Smoleòák, 
			Eduards Tralmaks, 
			Denis Kusý, 
			Adam Brízgala
";"

Patrik Demel, 
			Kristaps Zile, 
			Michal Gut, 
			Matej Tomek
"
25:31;KLA;Deven SIDEROFF (1);Ondøej SLOVÁÈEK (3);5 na 5;"

Deven Sideroff, 
			Ondøej Slováèek, 
			Ondøej Bláha, 
			Václav Veber, 
			Jaromír Pytlík, 
			Adam Brízgala
";"

Janis Jaks, 
			Lukáš Válek, 
			Kristaps Zile, 
			Jindøich Abdul, 
			Liam Kirk, 
			Matej Tomek
"
35:52;LIT;Petr KOBLASA (6);"David KAŠE (9),
								Ondøej KAŠE (7)";Pøesilovka 5 na 4;"

Petr Koblasa, 
			David Kaše, 
			Ondøej Kaše, 
			Liam Kirk, 
			Janis Jaks, 
			Matej Tomek
";"

Václav Veber, 
			Antonín Melka, 
			Ondøej Slováèek, 
			Tadeáš Hejda, 
			Adam Brízgala
"
52:33;KLA;Deven SIDEROFF (2);"Martin PROCHÁZKA (2),
								Jiøí TICHÁÈEK (8)";5 na 5;"

Deven Sideroff, 
			Chris Martenet, 
			Jaromír Pytlík, 
			Martin Procházka, 
			Jiøí Ticháèek, 
			Adam Brízgala
";"

Radim Šalda, 
			Liam Kirk, 
			Andrej Kudrna, 
			Jindøich Abdul, 
			Janis Jaks, 
			Matej Tomek
"
53:46;LIT;Matúš SUKE¼ (3);"Kevin CZUCZMAN (3),
								Denis ZEMAN (2)";5 na 5;"

Matúš Suke¾, 
			Kevin Czuczman, 
			Andrej Kudrna, 
			Denis Zeman, 
			Petr Koblasa, 
			Matej Tomek
";"

Jakub Babka, 
			Tadeáš Hejda, 
			Jakub Strnad, 
			Ondøej Bláha, 
			Jake Dotchin, 
			Adam Brízgala
"
57:11;LIT;Kristaps ZILE (1);David KAŠE (10);5 na 5;"

Kristaps Zile, 
			David Kaše, 
			Jindøich Abdul, 
			Ondøej Kaše, 
			Kevin Czuczman, 
			Matej Tomek
";"

Chris Martenet, 
			Radek Smoleòák, 
			Jakub Klepiš, 
			Jakub Strnad, 
			Ondøej Slováèek, 
			Adam Brízgala
"
;;;;;;
Výsledek zápasu LIT : KLA - 4 : 4 po základní hrací dobì;;;;;;
;;;;;;
Prodloužení - vítìzný gól: ;;;;;;
63:22;LIT;"Ondøej KAŠE (6)
GV";"

David KAŠE (11)

";3 na 3;"

Ondøej Kaše, 
			David Kaše, 
			Patrik Demel, 
			Matej Tomek
";"

Jaromír Pytlík, 
			Jake Dotchin, 
			Deven Sideroff, 
			Adam Brízgala
"
